date,shift,person_id,status,notes
2026-09-08,morning,sarah,confirmed,
2026-09-08,morning,dan,confirmed,
2026-09-08,afternoon,priya,confirmed,
2026-09-08,afternoon,tom,confirmed,
2026-09-09,morning,sarah,confirmed,
2026-09-09,morning,mei,confirmed,
2026-09-09,afternoon,priya,confirmed,
2026-09-09,afternoon,jack,confirmed,
2026-09-10,morning,dan,confirmed,
2026-09-10,morning,mei,confirmed,
2026-09-10,afternoon,priya,confirmed,
2026-09-10,afternoon,tom,confirmed,
2026-09-11,morning,sarah,confirmed,
2026-09-11,morning,dan,confirmed,
2026-09-11,afternoon,jack,confirmed,
2026-09-11,afternoon,mei,confirmed,
2026-09-12,morning,sarah,confirmed,
2026-09-12,morning,mei,confirmed,
2026-09-12,afternoon,tom,confirmed,
2026-09-12,afternoon,jack,confirmed,
